Sort#,ParentFolderName,FileName,AccessionName,Sample,Condition,Species,ProportionSyriaca
192,PP_SiouxFalls_080420212021-08-0409-54-58,010-P2-D3-no Sample Name.D,C3,SeaWa 2,Drought,Speciosa,NA
193,PP_SiouxFalls_080420212021-08-0409-54-58,011-P2-D4-no Sample Name.D,C2,Taos2 3,Drought,Speciosa,NA
194,PP_SiouxFalls_080420212021-08-0409-54-58,012-P2-D5-no Sample Name.D,C1,EB3 3,Drought,Syriaca,1
195,PP_SiouxFalls_080420212021-08-0409-54-58,013-P2-D7-no Sample Name.D,B15,OF1 2,Watered,Syriaca,0.87
196,PP_SiouxFalls_080420212021-08-0409-54-58,014-P2-D8-no Sample Name.D,A4,DGIL 5,Drought,Syriaca,0.98
197,PP_SiouxFalls_080420212021-08-0409-54-58,015-P2-D9-no Sample Name.D,A3,BMN1 2,Drought,Syriaca,0.92
198,PP_SiouxFalls_080420212021-08-0409-54-58,016-P2-D10-no Sample Name.D,A2,Ith17 3,Drought,Syriaca,0.99
199,PP_SiouxFalls_080420212021-08-0409-54-58,017-P2-D11-no Sample Name.D,A1,Olathe3 2,Drought,Hybrid,NA
200,PP_SiouxFalls_080420212021-08-0409-54-58,018-P2-D12-no Sample Name.D,P16,SAOH2 2,Watered,Syriaca,0.98
201,PP_SiouxFalls_080420212021-08-0409-54-58,019-P2-E1-no Sample Name.D,P9,BMN1 1,Watered,Syriaca,0.92
202,PP_SiouxFalls_080420212021-08-0409-54-58,020-P2-E2-no Sample Name.D,P7,EB3 2,Watered,Syriaca,1
203,PP_SiouxFalls_080420212021-08-0409-54-58,021-P2-E3-no Sample Name.D,B7,PG1-2 2,Watered,Hybrid,0.61
204,PP_SiouxFalls_080420212021-08-0409-54-58,022-P2-E4-no Sample Name.D,B6,MCN1 2,Watered,Speciosa,0
205,PP_SiouxFalls_080420212021-08-0409-54-58,023-P2-E5-no Sample Name.D,B5,ADAC1 2,Watered,Speciosa,NA
206,PP_SiouxFalls_080420212021-08-0409-54-58,024-P2-E6-no Sample Name.D,B4,Lola1 2,Watered,Speciosa,0
207,PP_SiouxFalls_080420212021-08-0409-54-58,025-P2-E7-no Sample Name.D,B3,F1Mak2-9 2,Watered,Hybrid,0.19
208,PP_SiouxFalls_080420212021-08-0409-54-58,026-P2-E8-no Sample Name.D,B2,NTHS1 2,Watered,Hybrid,0.7
209,PP_SiouxFalls_080420212021-08-0409-54-58,027-P2-E9-no Sample Name.D,B1,Logan3 2,Watered,Speciosa,NA
210,PP_SiouxFalls_080420212021-08-0409-54-58,028-P2-E10-no Sample Name.D,A16,FF1 3,Drought,Syriaca,0.9
211,PP_SiouxFalls_080420212021-08-0409-54-58,029-P2-E11-no Sample Name.D,A11,ShD1 3,Drought,Hybrid,0.65
212,PP_SiouxFalls_080420212021-08-0409-54-58,030-P2-E12-no Sample Name.D,A8,PG1-2 3,Drought,Hybrid,0.61
213,PP_SiouxFalls_080420212021-08-0409-54-58,031-P2-F1-no Sample Name.D,A6,SeaWa 5,Drought,Speciosa,NA
214,PP_SiouxFalls_080420212021-08-0409-54-58,032-P2-F2-no Sample Name.D,A5,BMN1 5,Drought,Syriaca,0.92
215,PP_SiouxFalls_080420212021-08-0409-54-58,033-P2-F4-no Sample Name.D,P6,EllWa 4,Watered,Speciosa,0
216,PP_SiouxFalls_080420212021-08-0409-54-58,034-P2-F5-no Sample Name.D,,,,,
217,PP_SiouxFalls_080520212021-08-0512-57-29,001-P2-H1-no Sample Name.D,,,,,
218,PP_SiouxFalls_080520212021-08-0512-57-29,002-P2-F6-no Sample Name.D,P4,F1Mak2-9 3,Watered,Hybrid,0.19
219,PP_SiouxFalls_080520212021-08-0512-57-29,003-P2-F7-no Sample Name.D,P3,SeaWa 2,Watered,Speciosa,NA
220,PP_SiouxFalls_080520212021-08-0512-57-29,004-P2-F8-no Sample Name.D,P2,Lola1 1,Watered,Speciosa,0
221,PP_SiouxFalls_080520212021-08-0512-57-29,005-P2-F9-no Sample Name.D,P1,F1Mak2-9 1,Watered,Hybrid,0.19
222,PP_SiouxFalls_080520212021-08-0512-57-29,006-P2-F10-no Sample Name.D,O16,MCN1 3,Drought,Speciosa,0
223,PP_SiouxFalls_080520212021-08-0512-57-29,007-P2-F11-no Sample Name.D,O14,Lola1 5,Drought,Speciosa,0
224,PP_SiouxFalls_080520212021-08-0512-57-29,008-P2-F12-no Sample Name.D,O13,ISB1-2 2,Drought,Syriaca,0.92
225,PP_SiouxFalls_080520212021-08-0512-57-29,009-P2-G1-no Sample Name.D,F9,FF1 2,Watered,Syriaca,0.9
226,PP_SiouxFalls_080520212021-08-0512-57-29,010-P2-G2-no Sample Name.D,F8,EDF 2,Watered,Speciosa,NA
227,PP_SiouxFalls_080520212021-08-0512-57-29,011-P2-G3-no Sample Name.D,F7,OF1 2,Watered,Syriaca,0.87
